CDSEXE,MTREV,NBENF,CDSITFAM,DTADH,CDTMT,CDCATCL,AGEAD,adh,CATAGEAD,CATadh,is_adh
3,0,0,M,2000-05-09,0,21,60,3,51_60,0_10,demissionnaire
3,0,0,D,1982-12-08,0,21,40,19,31_40,11_20,demissionnaire
2,0,0,A,1992-04-02,0,21,67,10,61_70,0_10,demissionnaire
3,0,0,M,2006-11-24,2,10,55,1,51_60,0_10,adherent
2,5768,enfants,M,1987-05-06,0,21,34,17,31_40,11_20,demissionnaire
2,0,0,M,2006-05-16,0,21,31,0,31_40,0_10,demissionnaire
2,0,0,A,1990-12-11,0,10,32,17,31_40,11_20,adherent
3,0,0,M,1983-12-16,2,10,39,24,31_40,21_30,adherent
2,0,0,A,1981-05-07,0,10,37,26,31_40,21_30,adherent
3,0,0,M,2000-05-02,0,21,34,3,31_40,0_10,demissionnaire
3,2260,enfants,M,2001-03-19,2,10,57,6,51_60,0_10,adherent
3,0,enfants,M,1985-10-28,0,21,29,21,21_30,21_30,demissionnaire
2,2872,enfants,M,2000-01-17,0,21,50,7,41_50,0_10,adherent
3,0,0,A,2000-07-12,0,25,62,3,61_70,0_10,demissionnaire
3,0,0,A,1985-05-30,0,21,46,16,41_50,11_20,demissionnaire
4,0,0,C,1996-09-06,0,10,24,11,21_30,11_20,adherent
2,0,0,C,1980-02-26,0,21,44,22,41_50,21_30,demissionnaire
4,0,0,P,2005-03-15,0,21,26,0,21_30,0_10,demissionnaire
2,0,0,M,1997-04-18,0,25,69,8,61_70,0_10,demissionnaire
2,2340,enfants,M,1988-05-04,2,10,42,19,41_50,11_20,adherent
3,0,0,V,1980-05-27,0,21,53,22,51_60,21_30,demissionnaire
3,0,enfants,M,2001-03-26,2,10,41,6,41_50,0_10,adherent
2,5976,enfants,M,2000-04-27,0,21,53,7,51_60,0_10,adherent
2,0,0,A,1973-10-23,0,21,39,33,31_40,31_40,demissionnaire
3,0,0,M,2004-05-10,0,21,62,2,61_70,0_10,demissionnaire
2,0,0,M,2000-01-03,2,21,58,3,51_60,0_10,demissionnaire
2,0,0,A,1996-07-15,0,23,29,6,21_30,0_10,demissionnaire
3,0,0,C,1982-01-28,0,10,23,25,21_30,21_30,adherent
3,0,0,A,1982-12-02,0,21,38,17,31_40,11_20,demissionnaire
3,0,0,M,2001-09-06,2,10,26,6,21_30,0_10,adherent
2,0,0,M,1985-06-07,0,21,26,18,21_30,11_20,demissionnaire
2,0,0,A,1980-03-31,0,21,34,24,31_40,21_30,demissionnaire
3,0,0,M,1994-06-21,0,21,59,10,51_60,0_10,demissionnaire
3,0,0,A,1987-01-22,0,21,32,18,31_40,11_20,demissionnaire
4,2019,0,A,2005-06-21,2,10,35,2,31_40,0_10,adherent
2,0,0,A,1994-04-26,0,21,23,8,21_30,0_10,demissionnaire
2,0,0,A,2000-10-04,0,25,36,7,31_40,0_10,adherent
4,0,0,C,1973-03-02,0,21,30,28,21_30,21_30,demissionnaire
2,0,0,A,1973-12-14,0,21,32,27,31_40,21_30,demissionnaire
2,0,0,A,1978-06-22,0,10,22,29,21_30,21_30,adherent
3,0,0,A,2001-11-20,0,10,52,0,51_60,0_10,demissionnaire
3,0,0,M,1979-03-29,0,21,24,27,21_30,21_30,demissionnaire
3,0,0,A,2002-05-30,0,23,34,5,31_40,0_10,adherent
3,2466,0,V,1985-10-24,2,10,43,22,41_50,21_30,adherent
2,0,0,M,2006-02-08,2,10,44,1,41_50,0_10,adherent
4,2127,enfants,U,2000-11-21,2,10,31,7,31_40,0_10,adherent
2,0,0,U,1994-10-06,0,21,25,11,21_30,11_20,demissionnaire
3,0,0,A,1985-02-18,0,21,35,14,31_40,11_20,demissionnaire
2,2643,enfants,M,1986-05-16,2,10,26,21,21_30,21_30,adherent
3,0,0,M,1995-02-21,2,10,53,12,51_60,11_20,adherent
2,0,0,A,1986-07-01,0,21,27,19,21_30,11_20,demissionnaire
2,2145,enfants,M,1978-03-21,2,10,38,29,31_40,21_30,adherent
3,0,0,A,1990-06-18,0,10,42,17,41_50,11_20,adherent
2,0,enfants,A,1999-07-01,0,21,42,3,41_50,0_10,demissionnaire
2,0,0,A,1974-07-30,0,21,38,29,31_40,21_30,demissionnaire
3,0,0,V,1998-09-23,0,21,84,6,71plus,0_10,demissionnaire
