Id;CDSEXE;MTREV;NBENF;CDSITFAM;DTADH;CDTMT;CDDEM;DTDEM;ANNEE_DEM;CDMOTDEM;CDCATCL;AGEAD;rangagead;agedem;rangagedem;rangdem;adh;rangadh;LBL_rangagead;ID_rangagead;LBL_agedem;ID_agedem;LBL_rangadh;ID_rangadh
250;3;0;0;D;14/06/1979;0;2;29/03/2002;2002;DA;21;20;1  19-25;43;5  41-45;4  2002;23;5  20-24;19-25;1;41-45;5;20-24;5
251;3;0;0;A;12/10/1979;0;2;24/06/2005;2005;DV;21;23;1  19-25;49;6  46-50;7  2005;26;6  25-29;19-25;1;46-50;6;25-29;6
252;3;0;0;A;12/11/1979;0;2;29/11/2001;2001;DV;21;47;6  46-50;69;a  66-70;3  2001;22;5  20-24;46-50;6;66-70;a;20-24;5
253;2;0;0;D;03/12/1979;2;2;14/03/2001;2001;DV;21;28;2  26-30;50;6  46-50;3  2001;22;5  20-24;26-30;2;46-50;6;20-24;5
254;3;0;0;A;26/12/1979;0;2;25/07/2003;2003;DV;21;34;3  31-35;58;8  56-60;5  2003;24;5  20-24;31-35;3;56-60;8;20-24;5
255;3;0;0;A;25/01/1980;2;2;28/06/2001;2001;DV;21;42;5  41-45;63;9  61-65;3  2001;21;5  20-24;41-45;5;61-65;9;20-24;5
256;3;0;0;V;28/02/1980;0;2;20/12/2004;2004;DV;21;61;8  56-+;85;b  71-+;6  2004;24;5  20-24;56-+;8;71-+;b;20-24;5
257;3;0;0;D;10/03/1980;0;2;13/12/2004;2004;DV;21;47;6  46-50;71;b  71-+;6  2004;24;5  20-24;46-50;6;71-+;b;20-24;5
258;2;0;1;M;25/03/1980;0;2;09/02/2004;2004;DV;21;38;4  36-40;62;9  61-65;6  2004;24;5  20-24;36-40;4;61-65;9;20-24;5
259;3;0;0;A;02/04/1980;0;2;08/12/2000;2000;DV;21;27;2  26-30;47;6  46-50;2  2000;20;5  20-24;26-30;2;46-50;6;20-24;5
260;2;0;0;A;02/04/1980;0;2;08/12/2000;2000;DV;21;29;2  26-30;49;6  46-50;2  2000;20;5  20-24;26-30;2;46-50;6;20-24;5
261;3;0;0;A;10/04/1980;0;2;05/04/2006;2006;DV;21;47;6  46-50;73;b  71-+;8  2006;26;6  25-29;46-50;6;71-+;b;25-29;6
262;2;0;0;M;28/04/1980;0;2;05/04/2006;2006;DV;21;48;6  46-50;74;b  71-+;8  2006;26;6  25-29;46-50;6;71-+;b;25-29;6
263;3;0;0;A;27/05/1980;0;2;02/06/1999;1999;DV;21;31;3  31-35;50;6  46-50;1  1999;19;4  15-19;31-35;3;46-50;6;15-19;4
264;2;0;0;A;27/05/1980;2;2;08/04/1999;1999;DV;21;34;3  31-35;53;7  51-55;1  1999;19;4  15-19;31-35;3;51-55;7;15-19;4
265;3;0;0;A;27/05/1980;0;2;01/06/2004;2004;DV;21;36;4  36-40;60;8  56-60;6  2004;24;5  20-24;36-40;4;56-60;8;20-24;5
266;3;0;0;A;27/05/1980;0;2;15/07/2002;2002;DV;21;31;3  31-35;53;7  51-55;4  2002;22;5  20-24;31-35;3;51-55;7;20-24;5
267;4;0;0;C;06/06/1980;0;2;23/06/2005;2005;DV;21;51;7  51-55;76;b  71-+;7  2005;25;6  25-29;51-55;7;71-+;b;25-29;6
268;2;0;0;A;06/06/1980;0;2;02/11/2005;2005;DV;10;28;2  26-30;53;7  51-55;7  2005;25;6  25-29;26-30;2;51-55;7;25-29;6
269;2;0;0;A;24/06/1980;0;2;16/06/2004;2004;DV;21;38;4  36-40;62;9  61-65;6  2004;24;5  20-24;36-40;4;61-65;9;20-24;5
270;2;0;0;A;23/07/1980;0;2;21/05/1999;1999;DV;21;40;4  36-40;59;8  56-60;1  1999;19;4  15-19;36-40;4;56-60;8;15-19;4
271;2;0;0;A;31/07/1980;0;2;31/07/2003;2003;RA;21;37;4  36-40;60;8  56-60;5  2003;23;5  20-24;36-40;4;56-60;8;20-24;5
272;3;1516;0;M;31/07/1980;0;2;04/01/2006;2006;DV;21;40;4  36-40;66;a  66-70;8  2006;26;6  25-29;36-40;4;66-70;a;25-29;6
